2024-01-06 23:36:20 | User=user3 | Action=Download | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-06 10:50:46 | User=user2 | Action=Upload | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-01 17:33:25 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=True
2024-01-04 06:22:01 | User=user2 | Action=Download | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=True
2024-01-06 15:16:34 | User=user3 | Action=Download | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-05 18:47:26 | User=user2 | Action=Upload | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=True
2024-01-03 01:20:24 | User=user1 | Action=Upload | File=Company_Data.csv | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-03 10:39:40 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=False
2024-01-03 16:01:31 | User=user3 | Action=Upload | File=Sensitive_File.txt | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-05 22:51:03 | User=user2 | Action=Download | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=True
2024-01-04 19:57:30 | User=user2 | Action=Download | File=Project_Plan.pdf | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-01 22:08:23 | User=user2 | Action=Upload | File=Project_Plan.pdf | Destination=usb_drive_1 | Unauthorized=True | OutOfHours=True
2024-01-04 12:14:20 | User=user2 | Action=Upload | File=Company_Data.csv | Destination=cloud_storage_1 | Unauthorized=True | OutOfHours=False
2024-01-06 10:29:13 | User=user2 | Action=Download | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-01 04:46:50 | User=user1 | Action=Upload | File=Project_Plan.pdf | Destination=external_server_1 | Unauthorized=True | OutOfHours=False
2024-01-07 06:32:42 | User=user3 | Action=Download | File=Sensitive_File.txt | Destination=external_server_1 | Unauthorized=True | OutOfHours=True
