2024-01-06 19:32:37 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.105
2024-01-03 10:19:22 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.141
2024-01-03 15:49:12 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.138
2024-01-06 15:34:38 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.82
2024-01-07 12:50:51 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.170
2024-01-07 07:14:26 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.57
2024-01-01 10:54:51 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.30
2024-01-01 20:02:12 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.209
2024-01-05 09:39:05 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.165
2024-01-06 23:26:29 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.218
2024-01-06 12:53:55 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.93
2024-01-05 08:20:44 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.94
2024-01-05 12:51:42 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.27
2024-01-03 04:43:53 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.9
2024-01-03 22:10:06 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.64
2024-01-05 11:45:06 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.151
2024-01-04 11:53:24 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.253
2024-01-04 09:20:21 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.238
2024-01-06 18:16:53 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.250
2024-01-05 02:50:48 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.152
2024-01-07 09:39:53 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.8
2024-01-03 13:40:20 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.42
2024-01-06 01:02:36 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.203
2024-01-07 09:20:38 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.130
2024-01-03 05:55:17 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.133
2024-01-01 03:28:11 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.167
2024-01-02 03:57:46 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.51
2024-01-03 07:13:04 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.133
2024-01-03 17:30:38 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.102
2024-01-04 10:35:04 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.144
2024-01-01 12:40:20 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.91
2024-01-06 06:11:05 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.115
2024-01-07 11:28:23 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.8
2024-01-04 18:47:37 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.161
2024-01-05 01:25:57 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.128
2024-01-05 10:16:22 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.137
2024-01-05 19:51:09 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.240
2024-01-03 15:16:09 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.18
2024-01-07 14:05:14 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.101
2024-01-02 14:53:50 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.150
2024-01-07 04:02:59 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.133
2024-01-05 18:22:47 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.204
2024-01-02 07:25:05 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.61
2024-01-04 20:01:11 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.158
2024-01-07 22:02:38 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.69
2024-01-03 06:24:19 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.37
2024-01-04 01:54:51 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.159
2024-01-06 16:51:00 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.228
2024-01-04 14:06:27 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.13
2024-01-01 09:50:47 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.31
2024-01-03 14:29:37 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.57
2024-01-04 08:03:46 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.215
2024-01-06 14:38:57 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.28
2024-01-06 01:53:49 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.179
2024-01-03 14:59:29 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.117
2024-01-06 09:03:31 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.30
2024-01-06 11:21:38 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.237
2024-01-01 08:19:55 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.229
2024-01-06 02:03:54 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.187
2024-01-02 11:30:53 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.48
2024-01-02 07:53:57 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.118
2024-01-01 05:42:40 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.193
2024-01-05 02:25:06 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.85
2024-01-07 19:01:29 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.254
2024-01-06 00:19:50 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.230
2024-01-07 01:50:59 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.28
2024-01-01 17:37:37 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.232
2024-01-06 16:45:38 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.137
2024-01-06 11:02:35 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.185
2024-01-07 18:21:28 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.169
2024-01-01 20:43:14 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.251
2024-01-07 08:05:15 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.228
2024-01-01 18:05:12 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.15
2024-01-04 18:19:33 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.253
2024-01-04 16:44:15 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.182
2024-01-01 14:56:59 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.3
2024-01-04 03:57:46 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.112
2024-01-04 06:07:14 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.191
2024-01-06 08:13:39 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.251
2024-01-06 10:53:17 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.244
2024-01-03 15:54:01 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.212
2024-01-07 05:07:16 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.239
2024-01-05 12:31:01 | User=user3 | Action=Failed | Location=Remote | IP=192.168.1.46
2024-01-04 16:18:04 | User=admin@company.com | Action=Success | Location=Local | IP=192.168.1.247
2024-01-07 06:21:50 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.66
2024-01-04 21:40:30 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.16
2024-01-02 11:52:21 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.79
2024-01-01 21:18:34 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.22
2024-01-01 07:33:52 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.90
2024-01-01 07:05:03 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.70
2024-01-03 04:15:32 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.241
2024-01-02 22:11:18 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.14
2024-01-02 08:07:58 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.246
2024-01-01 18:03:43 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.64
2024-01-02 13:01:10 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.128
2024-01-01 04:15:38 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.254
2024-01-01 14:50:22 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.225
2024-01-03 03:32:10 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.160
2024-01-02 20:19:52 | User=user1 | Action=Failed | Location=Remote | IP=192.168.1.174
2024-01-03 01:36:12 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.190
2024-01-05 07:31:30 | User=user2 | Action=Failed | Location=Remote | IP=192.168.1.101
2024-01-03 16:46:34 | User=user3@company.com | Action=Success | Location=Local | IP=192.168.1.1
2024-01-05 03:46:12 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.101
2024-01-06 21:11:57 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.34
2024-01-02 21:47:19 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.184
2024-01-01 10:08:03 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.219
2024-01-06 06:50:18 | User=user1@company.com | Action=Success | Location=Local | IP=192.168.1.162
2024-01-03 23:45:46 | User=user2@company.com | Action=Success | Location=Local | IP=192.168.1.211
