2024-01-07 06:39:22 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-04 15:16:24 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-03 21:29:53 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 00:57:22 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-07 18:14:49 | User=user3 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-06 14:30:04 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-04 17:38:36 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-07 14:22:30 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-02 21:04:27 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-01 07:34:06 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 00:35:40 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-03 00:53:13 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 23:35:05 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-07 06:09:30 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-06 23:46:44 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-07 00:04:00 | User=user3 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 17:35:01 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-06 07:46:16 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 06:52:21 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-05 05:16:33 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-05 02:44:48 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-07 06:03:19 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-03 23:52:41 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-01 01:02:31 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-03 10:05:23 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-03 08:39:38 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 20:15:32 | User=user3 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-07 05:40:37 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-07 04:16:17 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-02 20:01:06 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-07 23:36:54 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-05 18:44:58 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-05 16:59:33 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-03 12:11:59 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-07 01:33:51 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-02 12:50:13 | User=user3 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-06 10:19:26 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-03 23:19:04 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-03 10:52:20 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-05 15:38:53 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-04 14:49:12 | User=user3 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-01 15:39:50 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-03 16:56:42 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-06 02:00:52 | User=user3 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-05 19:07:28 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-02 09:03:49 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 02:51:34 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 05:45:29 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-01 16:46:20 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-07 20:36:33 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-02 14:38:43 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-06 20:42:16 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-01 13:16:18 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-02 13:34:07 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-05 09:17:17 | User=user3 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-01 10:38:17 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-03 16:20:10 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-07 07:10:51 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 20:52:37 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-05 06:21:42 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 09:21:04 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-06 18:31:57 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 18:05:48 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-02 20:17:09 | User=user3 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-02 18:47:24 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-03 13:06:00 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-04 15:40:05 | User=user3 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-05 03:43:19 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-02 11:26:52 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-01 03:07:37 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 19:15:25 | User=user3 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-02 18:32:42 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 22:07:41 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-01 06:38:55 | User=user3 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-07 23:37:46 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-04 16:56:07 | User=user1 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-01 23:51:20 | User=user1 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
2024-01-01 21:05:52 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-04 03:48:56 | User=user2 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-01 11:43:10 | User=user2 | Action=Install Software | Software=Unauthorized_Software_v1.0 | Unauthorized=True
2024-01-07 00:27:37 | User=user1 | Action=Install Software | Software=UnknownApp.pkg | Unauthorized=True
2024-01-03 07:45:32 | User=user2 | Action=Install Software | Software=Malware_Tool.exe | Unauthorized=True
