2024-01-06 18:05:50 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-04 19:02:16 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-02 07:49:50 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-02 09:25:19 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=USB_Drive_1 | Unauthorized=True
2024-01-01 22:06:20 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-06 13:08:58 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-02 10:13:02 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=External_HDD_1 | Unauthorized=True
2024-01-01 13:05:36 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-04 19:56:20 | User=user2 | Action=Copy to External Device | File=Sensitive_File.txt | Device=External_HDD_1 | Unauthorized=True
2024-01-02 08:24:50 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-01 18:33:16 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-02 15:33:45 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-04 12:19:39 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-07 23:12:48 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-07 09:05:20 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=External_HDD_1 | Unauthorized=True
2024-01-02 16:07:23 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-02 03:59:58 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-05 11:43:50 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-04 13:57:02 | User=user1 | Action=Copy to External Device | File=Sensitive_File.txt | Device=Portable_SSD | Unauthorized=True
2024-01-07 04:01:06 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=Portable_SSD | Unauthorized=True
2024-01-04 18:51:08 | User=user2 | Action=Copy to External Device | File=HR_Documents.docx | Device=External_HDD_1 | Unauthorized=True
2024-01-02 09:52:10 | User=user1 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-01 08:06:37 | User=user3 | Action=Copy to External Device | File=Financial_Report.xls | Device=Portable_SSD | Unauthorized=True
2024-01-02 10:52:14 | User=user3 | Action=Copy to External Device | File=HR_Documents.docx | Device=USB_Drive_1 | Unauthorized=True
2024-01-01 03:49:09 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
2024-01-02 07:34:28 | User=user1 | Action=Copy to External Device | File=Financial_Report.xls | Device=Portable_SSD | Unauthorized=True
2024-01-03 01:00:45 | User=user2 | Action=Copy to External Device | File=Financial_Report.xls | Device=USB_Drive_1 | Unauthorized=True
